"Tratamiento","n","mean","sd"
"WT",3,132083.333,4606.947
"DMSO",3,130416.667,6383.981
"eGFP",3,130833.333,3969.283
"0.9 µM 8-HQ",3,74583.333,5671.107
"tGAS1",3,70625,3750
"tGAS1+0.9 µM 8-HQ",3,54166.667,4773.516
